"v /In0; tran (V)","Offsetf_N","Offsetr_N","Offsetf_P","Offsetr_P","Offsetf_R","Offsetr_R","Offset_N","Offset_P","Offset_R"
wave,-9.95000000000003e-3,-9.35000000000003e-3,4.14999999999997e-3,4.44999999999997e-3,2.04999999999997e-3,2.64999999999997e-3,-9.65000000000003e-3,4.29999999999997e-3,2.34999999999997e-3
wave,-12.95e-3,-12.65e-3,-350.000000000031e-6,-50.0000000000325e-6,-4.55000000000003e-3,-4.25000000000003e-3,-12.8e-3,-200.000000000032e-6,-4.40000000000003e-3
wave,3.24999999999997e-3,3.54999999999997e-3,1.44999999999997e-3,1.74999999999997e-3,-3.95000000000003e-3,-3.65000000000003e-3,3.39999999999997e-3,1.59999999999997e-3,-3.80000000000003e-3
wave,1.14999999999997e-3,1.44999999999997e-3,-4.85000000000003e-3,-4.55000000000003e-3,7.74999999999997e-3,8.34999999999997e-3,1.29999999999997e-3,-4.70000000000003e-3,8.04999999999997e-3
wave,-6.05000000000003e-3,-6.05000000000003e-3,7.74999999999997e-3,8.04999999999997e-3,-6.65000000000003e-3,-6.35000000000003e-3,-6.05000000000003e-3,7.89999999999997e-3,-6.50000000000003e-3
wave,4.74999999999997e-3,5.04999999999997e-3,-2.45000000000003e-3,-1.85000000000003e-3,10.45e-3,10.75e-3,4.89999999999997e-3,-2.15000000000003e-3,10.6e-3
wave,2.04999999999997e-3,2.34999999999997e-3,-7.85000000000003e-3,-7.85000000000003e-3,-6.35000000000003e-3,-6.05000000000003e-3,2.19999999999997e-3,-7.85000000000003e-3,-6.20000000000003e-3
wave,-1.55000000000003e-3,-1.25000000000003e-3,249.999999999969e-6,549.999999999967e-6,2.64999999999997e-3,2.94999999999997e-3,-1.40000000000003e-3,399.999999999968e-6,2.79999999999997e-3
wave,-3.95000000000003e-3,-3.65000000000003e-3,8.34999999999997e-3,8.64999999999997e-3,-1.85000000000003e-3,-1.55000000000003e-3,-3.80000000000003e-3,8.49999999999997e-3,-1.70000000000003e-3
wave,7.74999999999997e-3,8.04999999999997e-3,1.44999999999997e-3,1.74999999999997e-3,-3.95000000000003e-3,-3.65000000000003e-3,7.89999999999997e-3,1.59999999999997e-3,-3.80000000000003e-3
wave,1.44999999999997e-3,1.74999999999997e-3,-10.25e-3,-9.95000000000003e-3,5.64999999999997e-3,5.94999999999997e-3,1.59999999999997e-3,-10.1e-3,5.79999999999997e-3
wave,2.34999999999997e-3,2.64999999999997e-3,-5.15000000000003e-3,-4.85000000000003e-3,2.94999999999997e-3,3.24999999999997e-3,2.49999999999997e-3,-5.00000000000003e-3,3.09999999999997e-3
wave,2.04999999999997e-3,2.34999999999997e-3,-3.05000000000003e-3,-2.75000000000003e-3,3.84999999999997e-3,4.14999999999997e-3,2.19999999999997e-3,-2.90000000000003e-3,3.99999999999997e-3
wave,-650.000000000031e-6,-350.000000000033e-6,849.999999999969e-6,1.14999999999997e-3,-1.85000000000003e-3,-1.25000000000003e-3,-500.000000000032e-6,999.999999999968e-6,-1.55000000000003e-3
wave,-350.000000000031e-6,-50.0000000000325e-6,6.54999999999997e-3,6.84999999999997e-3,-19.55e-3,-19.25e-3,-200.000000000032e-6,6.69999999999997e-3,-19.4e-3
wave,1.74999999999997e-3,2.04999999999997e-3,5.64999999999997e-3,5.64999999999997e-3,2.94999999999997e-3,3.24999999999997e-3,1.89999999999997e-3,5.64999999999997e-3,3.09999999999997e-3
wave,-12.35e-3,-12.05e-3,2.64999999999997e-3,2.94999999999997e-3,549.999999999969e-6,1.14999999999997e-3,-12.2e-3,2.79999999999997e-3,849.999999999968e-6
wave,-650.000000000031e-6,-350.000000000033e-6,1.14999999999997e-3,1.44999999999997e-3,-2.45000000000003e-3,-2.15000000000003e-3,-500.000000000032e-6,1.29999999999997e-3,-2.30000000000003e-3
wave,-4.25000000000003e-3,-3.95000000000003e-3,5.04999999999997e-3,5.34999999999997e-3,-3.05000000000003e-3,-2.75000000000003e-3,-4.10000000000003e-3,5.19999999999997e-3,-2.90000000000003e-3
wave,2.34999999999997e-3,2.64999999999997e-3,4.74999999999997e-3,4.74999999999997e-3,249.999999999969e-6,849.999999999967e-6,2.49999999999997e-3,4.74999999999997e-3,549.999999999968e-6
wave,7.14999999999997e-3,7.44999999999997e-3,-14.15e-3,-13.85e-3,549.999999999969e-6,849.999999999967e-6,7.29999999999997e-3,-14e-3,699.999999999968e-6
wave,-7.85000000000003e-3,-7.55000000000003e-3,-9.95000000000003e-3,-9.65000000000003e-3,1.74999999999997e-3,2.34999999999997e-3,-7.70000000000003e-3,-9.80000000000003e-3,2.04999999999997e-3
wave,3.54999999999997e-3,3.84999999999997e-3,2.94999999999997e-3,3.24999999999997e-3,-1.25000000000003e-3,-950.000000000032e-6,3.69999999999997e-3,3.09999999999997e-3,-1.10000000000003e-3
wave,5.94999999999997e-3,6.24999999999997e-3,-15.05e-3,-14.75e-3,10.75e-3,11.05e-3,6.09999999999997e-3,-14.9e-3,10.9e-3
wave,849.999999999969e-6,1.14999999999997e-3,-1.55000000000003e-3,-1.25000000000003e-3,-5.75000000000003e-3,-5.45000000000003e-3,999.999999999968e-6,-1.40000000000003e-3,-5.60000000000003e-3
wave,-1.85000000000003e-3,-1.55000000000003e-3,3.54999999999997e-3,3.84999999999997e-3,-4.25000000000003e-3,-3.95000000000003e-3,-1.70000000000003e-3,3.69999999999997e-3,-4.10000000000003e-3
wave,-7.25000000000003e-3,-6.95000000000003e-3,5.64999999999997e-3,5.64999999999997e-3,-5.45000000000003e-3,-4.85000000000003e-3,-7.10000000000003e-3,5.64999999999997e-3,-5.15000000000003e-3
wave,-50.0000000000311e-6,249.999999999967e-6,-3.05000000000003e-3,-2.75000000000003e-3,9.24999999999997e-3,9.54999999999997e-3,99.9999999999682e-6,-2.90000000000003e-3,9.39999999999997e-3
wave,-3.95000000000003e-3,-3.65000000000003e-3,-5.15000000000003e-3,-4.85000000000003e-3,-6.35000000000003e-3,-6.05000000000003e-3,-3.80000000000003e-3,-5.00000000000003e-3,-6.20000000000003e-3
wave,849.999999999969e-6,1.14999999999997e-3,10.75e-3,11.05e-3,1.44999999999997e-3,2.04999999999997e-3,999.999999999968e-6,10.9e-3,1.74999999999997e-3
wave,1.14999999999997e-3,1.44999999999997e-3,2.94999999999997e-3,3.24999999999997e-3,-3.35000000000003e-3,-3.05000000000003e-3,1.29999999999997e-3,3.09999999999997e-3,-3.20000000000003e-3
wave,-9.65000000000003e-3,-9.35000000000003e-3,-4.25000000000003e-3,-3.95000000000003e-3,-650.000000000031e-6,-50.0000000000325e-6,-9.50000000000003e-3,-4.10000000000003e-3,-350.000000000032e-6
wave,-4.25000000000003e-3,-3.95000000000003e-3,4.44999999999997e-3,4.74999999999997e-3,-4.55000000000003e-3,-3.95000000000003e-3,-4.10000000000003e-3,4.59999999999997e-3,-4.25000000000003e-3
wave,5.64999999999997e-3,5.94999999999997e-3,849.999999999969e-6,1.14999999999997e-3,4.74999999999997e-3,5.34999999999997e-3,5.79999999999997e-3,999.999999999968e-6,5.04999999999997e-3
wave,549.999999999969e-6,849.999999999967e-6,2.94999999999997e-3,3.24999999999997e-3,1.74999999999997e-3,2.04999999999997e-3,699.999999999968e-6,3.09999999999997e-3,1.89999999999997e-3
wave,2.04999999999997e-3,2.34999999999997e-3,-11.15e-3,-10.85e-3,-950.000000000031e-6,-350.000000000033e-6,2.19999999999997e-3,-11e-3,-650.000000000032e-6
wave,-7.55000000000003e-3,-6.95000000000003e-3,2.94999999999997e-3,3.24999999999997e-3,-1.55000000000003e-3,-950.000000000032e-6,-7.25000000000003e-3,3.09999999999997e-3,-1.25000000000003e-3
wave,4.74999999999997e-3,5.04999999999997e-3,8.94999999999997e-3,8.94999999999997e-3,2.64999999999997e-3,2.94999999999997e-3,4.89999999999997e-3,8.94999999999997e-3,2.79999999999997e-3
wave,4.74999999999997e-3,5.04999999999997e-3,-10.85e-3,-10.55e-3,-5.45000000000003e-3,-5.15000000000003e-3,4.89999999999997e-3,-10.7e-3,-5.30000000000003e-3
wave,3.84999999999997e-3,4.14999999999997e-3,5.64999999999997e-3,5.94999999999997e-3,-1.25000000000003e-3,-650.000000000032e-6,3.99999999999997e-3,5.79999999999997e-3,-950.000000000032e-6
wave,-1.25000000000003e-3,-950.000000000032e-6,1.74999999999997e-3,2.04999999999997e-3,-8.15000000000003e-3,-7.85000000000003e-3,-1.10000000000003e-3,1.89999999999997e-3,-8.00000000000003e-3
wave,2.04999999999997e-3,2.34999999999997e-3,11.35e-3,11.35e-3,-2.75000000000003e-3,-2.15000000000003e-3,2.19999999999997e-3,11.35e-3,-2.45000000000003e-3
wave,-3.65000000000003e-3,-3.35000000000003e-3,-2.45000000000003e-3,-2.15000000000003e-3,2.64999999999997e-3,2.94999999999997e-3,-3.50000000000003e-3,-2.30000000000003e-3,2.79999999999997e-3
wave,6.84999999999997e-3,7.14999999999997e-3,2.04999999999997e-3,2.34999999999997e-3,13.15e-3,13.75e-3,6.99999999999997e-3,2.19999999999997e-3,13.45e-3
wave,2.94999999999997e-3,2.94999999999997e-3,4.44999999999997e-3,4.74999999999997e-3,17.05e-3,17.65e-3,2.94999999999997e-3,4.59999999999997e-3,17.35e-3
wave,-950.000000000031e-6,-650.000000000032e-6,-4.85000000000003e-3,-4.55000000000003e-3,-10.85e-3,-10.25e-3,-800.000000000032e-6,-4.70000000000003e-3,-10.55e-3
wave,-4.25000000000003e-3,-3.95000000000003e-3,-2.45000000000003e-3,-2.15000000000003e-3,5.04999999999997e-3,5.34999999999997e-3,-4.10000000000003e-3,-2.30000000000003e-3,5.19999999999997e-3
wave,5.04999999999997e-3,5.34999999999997e-3,3.84999999999997e-3,4.14999999999997e-3,-9.05000000000003e-3,-8.75000000000003e-3,5.19999999999997e-3,3.99999999999997e-3,-8.90000000000003e-3
wave,-11.15e-3,-10.85e-3,-9.65000000000003e-3,-9.05000000000003e-3,6.84999999999997e-3,7.44999999999997e-3,-11e-3,-9.35000000000003e-3,7.14999999999997e-3
wave,4.74999999999997e-3,5.04999999999997e-3,2.94999999999997e-3,3.24999999999997e-3,-6.65000000000003e-3,-6.35000000000003e-3,4.89999999999997e-3,3.09999999999997e-3,-6.50000000000003e-3
wave,7.14999999999997e-3,7.44999999999997e-3,1.14999999999997e-3,1.44999999999997e-3,7.44999999999997e-3,7.74999999999997e-3,7.29999999999997e-3,1.29999999999997e-3,7.59999999999997e-3
wave,249.999999999969e-6,549.999999999967e-6,4.14999999999997e-3,4.44999999999997e-3,-7.85000000000003e-3,-7.25000000000003e-3,399.999999999968e-6,4.29999999999997e-3,-7.55000000000003e-3
wave,-8.15000000000003e-3,-7.85000000000003e-3,-4.25000000000003e-3,-3.95000000000003e-3,-3.35000000000003e-3,-2.75000000000003e-3,-8.00000000000003e-3,-4.10000000000003e-3,-3.05000000000003e-3
wave,-15.95e-3,-15.65e-3,-11.45e-3,-11.15e-3,1.74999999999997e-3,2.04999999999997e-3,-15.8e-3,-11.3e-3,1.89999999999997e-3
wave,5.94999999999997e-3,6.24999999999997e-3,3.54999999999997e-3,3.84999999999997e-3,5.04999999999997e-3,5.34999999999997e-3,6.09999999999997e-3,3.69999999999997e-3,5.19999999999997e-3
wave,1.74999999999997e-3,2.04999999999997e-3,849.999999999969e-6,1.14999999999997e-3,-4.55000000000003e-3,-3.95000000000003e-3,1.89999999999997e-3,999.999999999968e-6,-4.25000000000003e-3
wave,-2.75000000000003e-3,-2.45000000000003e-3,-9.05000000000003e-3,-8.75000000000003e-3,1.44999999999997e-3,2.04999999999997e-3,-2.60000000000003e-3,-8.90000000000003e-3,1.74999999999997e-3
wave,1.14999999999997e-3,1.44999999999997e-3,-3.05000000000003e-3,-2.75000000000003e-3,849.999999999969e-6,1.44999999999997e-3,1.29999999999997e-3,-2.90000000000003e-3,1.14999999999997e-3
wave,249.999999999969e-6,549.999999999967e-6,6.54999999999997e-3,6.84999999999997e-3,2.64999999999997e-3,2.94999999999997e-3,399.999999999968e-6,6.69999999999997e-3,2.79999999999997e-3
wave,-5.45000000000003e-3,-5.15000000000003e-3,2.64999999999997e-3,2.94999999999997e-3,-950.000000000031e-6,-650.000000000032e-6,-5.30000000000003e-3,2.79999999999997e-3,-800.000000000032e-6
wave,-6.65000000000003e-3,-6.35000000000003e-3,8.34999999999997e-3,8.64999999999997e-3,7.74999999999997e-3,8.04999999999997e-3,-6.50000000000003e-3,8.49999999999997e-3,7.89999999999997e-3
wave,3.54999999999997e-3,3.84999999999997e-3,-6.65000000000003e-3,-6.35000000000003e-3,4.44999999999997e-3,5.04999999999997e-3,3.69999999999997e-3,-6.50000000000003e-3,4.74999999999997e-3
wave,2.04999999999997e-3,2.34999999999997e-3,-4.25000000000003e-3,-3.95000000000003e-3,-1.55000000000003e-3,-950.000000000032e-6,2.19999999999997e-3,-4.10000000000003e-3,-1.25000000000003e-3
wave,7.14999999999997e-3,7.44999999999997e-3,3.84999999999997e-3,4.14999999999997e-3,7.44999999999997e-3,8.04999999999997e-3,7.29999999999997e-3,3.99999999999997e-3,7.74999999999997e-3
wave,849.999999999969e-6,1.14999999999997e-3,-15.35e-3,-15.05e-3,-6.65000000000003e-3,-6.05000000000003e-3,999.999999999968e-6,-15.2e-3,-6.35000000000003e-3
wave,-13.85e-3,-13.55e-3,6.24999999999997e-3,6.24999999999997e-3,-950.000000000031e-6,-650.000000000032e-6,-13.7e-3,6.24999999999997e-3,-800.000000000032e-6
wave,4.74999999999997e-3,5.04999999999997e-3,-3.65000000000003e-3,-3.35000000000003e-3,-6.05000000000003e-3,-5.45000000000003e-3,4.89999999999997e-3,-3.50000000000003e-3,-5.75000000000003e-3
wave,3.24999999999997e-3,3.54999999999997e-3,-7.25000000000003e-3,-6.95000000000003e-3,-350.000000000031e-6,-50.0000000000325e-6,3.39999999999997e-3,-7.10000000000003e-3,-200.000000000032e-6
wave,4.74999999999997e-3,5.04999999999997e-3,4.14999999999997e-3,4.44999999999997e-3,6.54999999999997e-3,6.84999999999997e-3,4.89999999999997e-3,4.29999999999997e-3,6.69999999999997e-3
wave,-3.95000000000003e-3,-3.65000000000003e-3,2.94999999999997e-3,3.24999999999997e-3,-6.65000000000003e-3,-6.05000000000003e-3,-3.80000000000003e-3,3.09999999999997e-3,-6.35000000000003e-3
wave,14.95e-3,15.25e-3,5.34999999999997e-3,5.64999999999997e-3,-4.25000000000003e-3,-3.95000000000003e-3,15.1e-3,5.49999999999997e-3,-4.10000000000003e-3
wave,2.64999999999997e-3,2.64999999999997e-3,-5.45000000000003e-3,-5.15000000000003e-3,-3.95000000000003e-3,-3.65000000000003e-3,2.64999999999997e-3,-5.30000000000003e-3,-3.80000000000003e-3
wave,-3.65000000000003e-3,-3.35000000000003e-3,10.45e-3,10.75e-3,1.74999999999997e-3,2.04999999999997e-3,-3.50000000000003e-3,10.6e-3,1.89999999999997e-3
wave,849.999999999969e-6,1.14999999999997e-3,7.44999999999997e-3,7.74999999999997e-3,-6.65000000000003e-3,-6.05000000000003e-3,999.999999999968e-6,7.59999999999997e-3,-6.35000000000003e-3
wave,2.04999999999997e-3,2.34999999999997e-3,-6.05000000000003e-3,-5.75000000000003e-3,7.74999999999997e-3,8.34999999999997e-3,2.19999999999997e-3,-5.90000000000003e-3,8.04999999999997e-3
wave,7.44999999999997e-3,7.44999999999997e-3,-2.75000000000003e-3,-2.45000000000003e-3,-3.65000000000003e-3,-3.05000000000003e-3,7.44999999999997e-3,-2.60000000000003e-3,-3.35000000000003e-3
wave,3.24999999999997e-3,3.54999999999997e-3,-15.35e-3,-15.05e-3,-2.15000000000003e-3,-1.85000000000003e-3,3.39999999999997e-3,-15.2e-3,-2.00000000000003e-3
wave,-2.75000000000003e-3,-2.15000000000003e-3,549.999999999969e-6,849.999999999967e-6,-950.000000000031e-6,-350.000000000033e-6,-2.45000000000003e-3,699.999999999968e-6,-650.000000000032e-6
wave,-3.35000000000003e-3,-3.05000000000003e-3,2.64999999999997e-3,2.64999999999997e-3,10.45e-3,11.05e-3,-3.20000000000003e-3,2.64999999999997e-3,10.75e-3
wave,2.64999999999997e-3,2.94999999999997e-3,-3.95000000000003e-3,-3.65000000000003e-3,-5.15000000000003e-3,-4.55000000000003e-3,2.79999999999997e-3,-3.80000000000003e-3,-4.85000000000003e-3
wave,-12.05e-3,-11.75e-3,-1.25000000000003e-3,-950.000000000032e-6,-6.35000000000003e-3,-6.05000000000003e-3,-11.9e-3,-1.10000000000003e-3,-6.20000000000003e-3
wave,3.54999999999997e-3,3.84999999999997e-3,249.999999999969e-6,549.999999999967e-6,-9.65000000000003e-3,-9.35000000000003e-3,3.69999999999997e-3,399.999999999968e-6,-9.50000000000003e-3
wave,4.74999999999997e-3,5.04999999999997e-3,10.45e-3,10.75e-3,4.74999999999997e-3,5.04999999999997e-3,4.89999999999997e-3,10.6e-3,4.89999999999997e-3
wave,549.999999999969e-6,849.999999999967e-6,2.34999999999997e-3,2.64999999999997e-3,-1.25000000000003e-3,-650.000000000032e-6,699.999999999968e-6,2.49999999999997e-3,-950.000000000032e-6
wave,-5.45000000000003e-3,-5.15000000000003e-3,-8.75000000000003e-3,-8.45000000000003e-3,-5.15000000000003e-3,-4.85000000000003e-3,-5.30000000000003e-3,-8.60000000000003e-3,-5.00000000000003e-3
wave,6.84999999999997e-3,7.14999999999997e-3,3.84999999999997e-3,4.14999999999997e-3,-5.75000000000003e-3,-5.45000000000003e-3,6.99999999999997e-3,3.99999999999997e-3,-5.60000000000003e-3
wave,2.94999999999997e-3,3.24999999999997e-3,9.84999999999997e-3,10.15e-3,-2.15000000000003e-3,-1.55000000000003e-3,3.09999999999997e-3,9.99999999999997e-3,-1.85000000000003e-3
wave,2.94999999999997e-3,3.24999999999997e-3,8.34999999999997e-3,8.64999999999997e-3,5.64999999999997e-3,6.24999999999997e-3,3.09999999999997e-3,8.49999999999997e-3,5.94999999999997e-3
wave,249.999999999969e-6,549.999999999967e-6,-7.25000000000003e-3,-6.95000000000003e-3,249.999999999969e-6,849.999999999967e-6,399.999999999968e-6,-7.10000000000003e-3,549.999999999968e-6
wave,549.999999999969e-6,849.999999999967e-6,-11.75e-3,-11.75e-3,1.74999999999997e-3,2.34999999999997e-3,699.999999999968e-6,-11.75e-3,2.04999999999997e-3
wave,2.04999999999997e-3,2.34999999999997e-3,5.64999999999997e-3,5.94999999999997e-3,-4.85000000000003e-3,-4.55000000000003e-3,2.19999999999997e-3,5.79999999999997e-3,-4.70000000000003e-3
wave,-950.000000000031e-6,-650.000000000032e-6,17.35e-3,17.65e-3,5.04999999999997e-3,5.34999999999997e-3,-800.000000000032e-6,17.5e-3,5.19999999999997e-3
wave,-5.45000000000003e-3,-5.15000000000003e-3,-3.05000000000003e-3,-3.05000000000003e-3,-3.95000000000003e-3,-3.65000000000003e-3,-5.30000000000003e-3,-3.05000000000003e-3,-3.80000000000003e-3
wave,8.34999999999997e-3,8.64999999999997e-3,-4.85000000000003e-3,-4.55000000000003e-3,-5.15000000000003e-3,-4.55000000000003e-3,8.49999999999997e-3,-4.70000000000003e-3,-4.85000000000003e-3
wave,2.94999999999997e-3,3.24999999999997e-3,-950.000000000031e-6,-650.000000000032e-6,-8.45000000000003e-3,-7.85000000000003e-3,3.09999999999997e-3,-800.000000000032e-6,-8.15000000000003e-3
wave,5.64999999999997e-3,5.94999999999997e-3,549.999999999969e-6,549.999999999967e-6,1.74999999999997e-3,2.34999999999997e-3,5.79999999999997e-3,549.999999999968e-6,2.04999999999997e-3
wave,3.24999999999997e-3,3.54999999999997e-3,5.04999999999997e-3,5.34999999999997e-3,-650.000000000031e-6,-350.000000000033e-6,3.39999999999997e-3,5.19999999999997e-3,-500.000000000032e-6
wave,-10.25e-3,-10.25e-3,-11.75e-3,-11.75e-3,5.34999999999997e-3,5.64999999999997e-3,-10.25e-3,-11.75e-3,5.49999999999997e-3
wave,5.04999999999997e-3,5.64999999999997e-3,-4.55000000000003e-3,-4.55000000000003e-3,9.24999999999997e-3,9.84999999999997e-3,5.34999999999997e-3,-4.55000000000003e-3,9.54999999999997e-3
wave,849.999999999969e-6,1.14999999999997e-3,-2.45000000000003e-3,-2.15000000000003e-3,-650.000000000031e-6,-350.000000000033e-6,999.999999999968e-6,-2.30000000000003e-3,-500.000000000032e-6
wave,-14.15e-3,-13.85e-3,849.999999999969e-6,1.44999999999997e-3,-8.15000000000003e-3,-7.55000000000003e-3,-14e-3,1.14999999999997e-3,-7.85000000000003e-3
wave,-3.05000000000003e-3,-3.05000000000003e-3,-5.15000000000003e-3,-4.85000000000003e-3,-6.65000000000003e-3,-6.05000000000003e-3,-3.05000000000003e-3,-5.00000000000003e-3,-6.35000000000003e-3
wave,-4.55000000000003e-3,-4.25000000000003e-3,-50.000000000031e-6,249.999999999967e-6,3.24999999999997e-3,3.84999999999997e-3,-4.40000000000003e-3,99.9999999999682e-6,3.54999999999997e-3
wave,-3.95000000000003e-3,-3.65000000000003e-3,-2.45000000000003e-3,-2.15000000000003e-3,10.75e-3,11.05e-3,-3.80000000000003e-3,-2.30000000000003e-3,10.9e-3
wave,-2.15000000000003e-3,-1.85000000000003e-3,-2.15000000000003e-3,-1.85000000000003e-3,-10.55e-3,-9.95000000000003e-3,-2.00000000000003e-3,-2.00000000000003e-3,-10.25e-3
wave,6.54999999999997e-3,6.84999999999997e-3,1.44999999999997e-3,2.04999999999997e-3,-2.15000000000003e-3,-1.55000000000003e-3,6.69999999999997e-3,1.74999999999997e-3,-1.85000000000003e-3
wave,-12.95e-3,-12.65e-3,10.45e-3,10.75e-3,-9.95000000000003e-3,-9.65000000000003e-3,-12.8e-3,10.6e-3,-9.80000000000003e-3
wave,-3.95000000000003e-3,-3.65000000000003e-3,549.999999999969e-6,549.999999999967e-6,11.05e-3,11.35e-3,-3.80000000000003e-3,549.999999999968e-6,11.2e-3
wave,7.44999999999997e-3,7.74999999999997e-3,-6.95000000000003e-3,-6.95000000000003e-3,-5.45000000000003e-3,-5.15000000000003e-3,7.59999999999997e-3,-6.95000000000003e-3,-5.30000000000003e-3
wave,1.74999999999997e-3,2.04999999999997e-3,-6.95000000000003e-3,-6.65000000000003e-3,16.45e-3,17.05e-3,1.89999999999997e-3,-6.80000000000003e-3,16.75e-3
wave,7.44999999999997e-3,7.44999999999997e-3,8.04999999999997e-3,8.34999999999997e-3,-5.45000000000003e-3,-4.85000000000003e-3,7.44999999999997e-3,8.19999999999997e-3,-5.15000000000003e-3
wave,-7.85000000000003e-3,-7.55000000000003e-3,-3.05000000000003e-3,-2.75000000000003e-3,849.999999999969e-6,1.14999999999997e-3,-7.70000000000003e-3,-2.90000000000003e-3,999.999999999968e-6
wave,9.24999999999997e-3,9.54999999999997e-3,10.45e-3,11.05e-3,2.64999999999997e-3,3.24999999999997e-3,9.39999999999997e-3,10.75e-3,2.94999999999997e-3
wave,849.999999999969e-6,849.999999999967e-6,1.44999999999997e-3,1.44999999999997e-3,1.14999999999997e-3,1.44999999999997e-3,849.999999999968e-6,1.44999999999997e-3,1.29999999999997e-3
wave,-3.65000000000003e-3,-3.05000000000003e-3,-950.000000000031e-6,-650.000000000032e-6,-8.45000000000003e-3,-7.85000000000003e-3,-3.35000000000003e-3,-800.000000000032e-6,-8.15000000000003e-3
wave,-8.75000000000003e-3,-8.45000000000003e-3,-5.75000000000003e-3,-5.45000000000003e-3,18.85e-3,19.15e-3,-8.60000000000003e-3,-5.60000000000003e-3,19e-3
wave,7.44999999999997e-3,7.74999999999997e-3,-7.85000000000003e-3,-7.85000000000003e-3,-1.85000000000003e-3,-1.25000000000003e-3,7.59999999999997e-3,-7.85000000000003e-3,-1.55000000000003e-3
wave,7.44999999999997e-3,7.74999999999997e-3,-1.55000000000003e-3,-1.25000000000003e-3,1.14999999999997e-3,1.74999999999997e-3,7.59999999999997e-3,-1.40000000000003e-3,1.44999999999997e-3
wave,-6.95000000000003e-3,-6.65000000000003e-3,4.74999999999997e-3,5.04999999999997e-3,-2.45000000000003e-3,-1.85000000000003e-3,-6.80000000000003e-3,4.89999999999997e-3,-2.15000000000003e-3
wave,7.74999999999997e-3,8.04999999999997e-3,1.74999999999997e-3,2.04999999999997e-3,-8.75000000000003e-3,-8.45000000000003e-3,7.89999999999997e-3,1.89999999999997e-3,-8.60000000000003e-3
wave,4.14999999999997e-3,4.44999999999997e-3,-2.45000000000003e-3,-2.15000000000003e-3,6.24999999999997e-3,6.84999999999997e-3,4.29999999999997e-3,-2.30000000000003e-3,6.54999999999997e-3
wave,-1.55000000000003e-3,-1.25000000000003e-3,-650.000000000031e-6,-350.000000000033e-6,-11.15e-3,-10.85e-3,-1.40000000000003e-3,-500.000000000032e-6,-11e-3
wave,-7.85000000000003e-3,-7.55000000000003e-3,249.999999999969e-6,549.999999999967e-6,2.34999999999997e-3,2.94999999999997e-3,-7.70000000000003e-3,399.999999999968e-6,2.64999999999997e-3
wave,8.04999999999997e-3,8.34999999999997e-3,-8.15000000000003e-3,-7.85000000000003e-3,4.74999999999997e-3,5.34999999999997e-3,8.19999999999997e-3,-8.00000000000003e-3,5.04999999999997e-3
wave,-3.65000000000003e-3,-3.35000000000003e-3,6.54999999999997e-3,6.84999999999997e-3,1.14999999999997e-3,1.44999999999997e-3,-3.50000000000003e-3,6.69999999999997e-3,1.29999999999997e-3
wave,9.24999999999997e-3,9.54999999999997e-3,3.24999999999997e-3,3.54999999999997e-3,-5.75000000000003e-3,-5.15000000000003e-3,9.39999999999997e-3,3.39999999999997e-3,-5.45000000000003e-3
wave,-9.65000000000003e-3,-9.35000000000003e-3,-5.45000000000003e-3,-5.15000000000003e-3,-3.65000000000003e-3,-3.05000000000003e-3,-9.50000000000003e-3,-5.30000000000003e-3,-3.35000000000003e-3
wave,-5.45000000000003e-3,-5.15000000000003e-3,-5.45000000000003e-3,-5.15000000000003e-3,5.94999999999997e-3,6.24999999999997e-3,-5.30000000000003e-3,-5.30000000000003e-3,6.09999999999997e-3
wave,249.999999999969e-6,549.999999999967e-6,-1.55000000000003e-3,-1.25000000000003e-3,-650.000000000031e-6,-50.0000000000325e-6,399.999999999968e-6,-1.40000000000003e-3,-350.000000000032e-6
wave,5.94999999999997e-3,6.24999999999997e-3,-4.85000000000003e-3,-4.55000000000003e-3,-350.000000000031e-6,249.999999999967e-6,6.09999999999997e-3,-4.70000000000003e-3,-50.0000000000318e-6
wave,-7.55000000000003e-3,-7.25000000000003e-3,3.54999999999997e-3,3.84999999999997e-3,1.14999999999997e-3,1.74999999999997e-3,-7.40000000000003e-3,3.69999999999997e-3,1.44999999999997e-3
wave,-5.75000000000003e-3,-5.45000000000003e-3,8.04999999999997e-3,8.34999999999997e-3,-10.85e-3,-10.25e-3,-5.60000000000003e-3,8.19999999999997e-3,-10.55e-3
wave,5.04999999999997e-3,5.34999999999997e-3,-4.85000000000003e-3,-4.85000000000003e-3,249.999999999969e-6,549.999999999967e-6,5.19999999999997e-3,-4.85000000000003e-3,399.999999999968e-6
wave,8.04999999999997e-3,8.64999999999997e-3,4.44999999999997e-3,4.74999999999997e-3,3.54999999999997e-3,4.14999999999997e-3,8.34999999999997e-3,4.59999999999997e-3,3.84999999999997e-3
wave,5.04999999999997e-3,5.04999999999997e-3,4.74999999999997e-3,5.04999999999997e-3,849.999999999969e-6,1.14999999999997e-3,5.04999999999997e-3,4.89999999999997e-3,999.999999999968e-6
wave,-5.75000000000003e-3,-5.45000000000003e-3,-50.000000000031e-6,249.999999999967e-6,10.15e-3,10.75e-3,-5.60000000000003e-3,99.9999999999682e-6,10.45e-3
wave,-1.25000000000003e-3,-950.000000000032e-6,-1.85000000000003e-3,-1.55000000000003e-3,-4.55000000000003e-3,-3.95000000000003e-3,-1.10000000000003e-3,-1.70000000000003e-3,-4.25000000000003e-3
